wavelength,blue
3.8e-07,0.066
3.9e-07,0.079
4e-07,0.102
4.1e-07,0.146
4.2e-07,0.2
4.3e-07,0.244
4.4e-07,0.282
4.5e-07,0.309
4.6e-07,0.308
4.7e-07,0.278
4.8e-07,0.231
4.9e-07,0.178
5e-07,0.13
5.1e-07,0.094
5.2e-07,0.07
5.3e-07,0.054
5.4e-07,0.046
5.5e-07,0.042
5.6e-07,0.039
5.7e-07,0.038
5.8e-07,0.038
5.9e-07,0.038
6e-07,0.038
6.1e-07,0.039
6.2e-07,0.039
6.3e-07,0.04
6.4e-07,0.041
6.5e-07,0.042
6.6e-07,0.044
6.7e-07,0.045
6.8e-07,0.046
6.9e-07,0.046
7e-07,0.048
7.1e-07,0.052
7.2e-07,0.057
7.3e-07,0.065
