wavelength,neutral 6.5 (.44 D)
3.8e-07,0.144
3.9e-07,0.192
4e-07,0.272
4.1e-07,0.331
4.2e-07,0.35
4.3e-07,0.357
4.4e-07,0.361
4.5e-07,0.363
4.6e-07,0.363
4.7e-07,0.361
4.8e-07,0.359
4.9e-07,0.358
5e-07,0.358
5.1e-07,0.359
5.2e-07,0.36
5.3e-07,0.36
5.4e-07,0.361
5.5e-07,0.361
5.6e-07,0.36
5.7e-07,0.362
5.8e-07,0.362
5.9e-07,0.361
6e-07,0.359
6.1e-07,0.358
6.2e-07,0.355
6.3e-07,0.352
6.4e-07,0.35
6.5e-07,0.348
6.6e-07,0.345
6.7e-07,0.343
6.8e-07,0.34
6.9e-07,0.338
7e-07,0.335
7.1e-07,0.334
7.2e-07,0.332
7.3e-07,0.331
