wavelength,yellow green
3.8000000000000001e-07,0.056000000000000001
3.8500000000000002e-07,0.05800000000000001
3.9000000000000002e-07,0.058999999999999997
3.9500000000000003e-07,0.05899999999999999
4.0000000000000003e-07,0.059999999999999991
4.0500000000000004e-07,0.060999999999999999
4.1000000000000004e-07,0.060999999999999999
4.1500000000000005e-07,0.060999999999999999
4.2e-07,0.061999999999999993
4.2500000000000001e-07,0.063
4.3000000000000001e-07,0.064000000000000015
4.3500000000000002e-07,0.066000000000000003
4.4000000000000002e-07,0.068000000000000005
4.4500000000000003e-07,0.070999999999999994
4.5000000000000003e-07,0.074999999999999983
4.5500000000000004e-07,0.079000000000000001
4.6000000000000004e-07,0.085000000000000006
4.6500000000000005e-07,0.092999999999999999
4.7000000000000005e-07,0.10399999999999998
4.75e-07,0.11799999999999999
4.8000000000000006e-07,0.13500000000000001
4.8500000000000002e-07,0.157
4.9000000000000007e-07,0.18500000000000003
4.9500000000000003e-07,0.221
5.0000000000000008e-07,0.26900000000000002
5.0500000000000004e-07,0.32599999999999996
5.0999999999999999e-07,0.38400000000000001
5.1500000000000005e-07,0.44
5.2e-07,0.48399999999999999
5.2500000000000006e-07,0.5159999999999999
5.3000000000000001e-07,0.53400000000000003
5.3500000000000007e-07,0.54200000000000004
5.4000000000000002e-07,0.54500000000000004
5.4500000000000008e-07,0.54099999999999993
5.5000000000000003e-07,0.53300000000000003
5.5500000000000009e-07,0.52400000000000002
5.6000000000000004e-07,0.51300000000000001
5.6499999999999999e-07,0.501
5.7000000000000005e-07,0.48700000000000004
5.75e-07,0.47199999999999998
5.8000000000000006e-07,0.45400000000000001
5.8500000000000001e-07,0.436
5.9000000000000007e-07,0.41599999999999993
5.9500000000000002e-07,0.39400000000000013
6.0000000000000008e-07,0.374
6.0500000000000003e-07,0.35800000000000004
6.1000000000000009e-07,0.34599999999999997
6.1500000000000004e-07,0.33699999999999997
6.1999999999999999e-07,0.33100000000000007
6.2500000000000005e-07,0.32800000000000001
6.3e-07,0.32500000000000001
6.3500000000000006e-07,0.32199999999999995
6.4000000000000001e-07,0.32000000000000001
6.4500000000000007e-07,0.31899999999999995
6.5000000000000002e-07,0.31900000000000001
6.5500000000000008e-07,0.31999999999999995
6.6000000000000003e-07,0.32400000000000001
6.6500000000000009e-07,0.32999999999999996
6.7000000000000004e-07,0.33700000000000002
6.75e-07,0.34499999999999997
6.8000000000000005e-07,0.35399999999999998
6.8500000000000001e-07,0.36199999999999999
6.9000000000000006e-07,0.36799999999999999
6.9500000000000002e-07,0.375
7.0000000000000007e-07,0.379
7.0500000000000003e-07,0.38100000000000001
7.1000000000000008e-07,0.379
7.1500000000000004e-07,0.376
7.2000000000000009e-07,0.37299999999999994
7.2500000000000005e-07,0.372
7.3e-07,0.37500000000000006
7.3500000000000006e-07,0.38200000000000001
7.4000000000000001e-07,0.39200000000000002
7.4500000000000007e-07,0.40100000000000002
7.5000000000000002e-07,0.41199999999999998
7.5500000000000008e-07,0.42199999999999999
7.6000000000000003e-07,0.43300000000000005
7.6500000000000009e-07,0.436
7.7000000000000004e-07,0.42599999999999993
7.750000000000001e-07,0.41299999999999992
7.8000000000000005e-07,0.40400000000000003
