wavelength,r_bar
3.9e-07,0.0015
3.95e-07,0.0038
4e-07,0.0089
4.05e-07,0.0188
4.1e-07,0.035
4.15e-07,0.0531
4.2e-07,0.0702
4.25e-07,0.0763
4.3e-07,0.0745
4.35e-07,0.0561
4.4e-07,0.0323
4.45e-07,-0.0044
4.5e-07,-0.0478
4.55e-07,-0.097
4.6e-07,-0.1586
4.65e-07,-0.2235
4.7e-07,-0.2848
4.75e-07,-0.3346
4.8e-07,-0.3776
4.85e-07,-0.4136
4.9e-07,-0.4317
4.95e-07,-0.4452
5e-07,-0.435
5.05e-07,-0.414
5.1e-07,-0.3673
5.15e-07,-0.2845
5.2e-07,-0.1855
5.25e-07,-0.0435
5.3e-07,0.127
5.35e-07,0.3129
5.4e-07,0.5362
5.45e-07,0.7722
5.5e-07,1.0059
5.55e-07,1.271
5.6e-07,1.5574
5.65e-07,1.8465
5.7e-07,2.1511
5.75e-07,2.425
5.8e-07,2.6574
5.85e-07,2.9151
5.9e-07,3.0779
5.95e-07,3.1613
6e-07,3.1673
6.05e-07,3.1048
6.1e-07,2.9462
6.15e-07,2.7194
6.2e-07,2.4526
6.25e-07,2.17
6.3e-07,1.8358
6.35e-07,1.5179
6.4e-07,1.2428
6.45e-07,1.007
6.5e-07,0.7827
6.55e-07,0.5934
6.6e-07,0.4442
6.65e-07,0.3283
6.7e-07,0.2394
6.75e-07,0.1722
6.8e-07,0.1221
6.85e-07,0.0853
6.9e-07,0.0586
6.95e-07,0.0408
7e-07,0.0284
7.05e-07,0.0197
7.1e-07,0.0135
7.15e-07,0.00924
7.2e-07,0.00638
7.25e-07,0.00441
7.3e-07,0.00307
7.35e-07,0.00214
7.4e-07,0.00149
7.45e-07,0.00105
7.5e-07,0.000739
7.55e-07,0.000523
7.6e-07,0.000372
7.65e-07,0.000265
7.7e-07,0.00019
7.75e-07,0.000136
7.8e-07,9.84e-05
7.85e-07,7.13e-05
7.9e-07,5.18e-05
7.95e-07,3.77e-05
8e-07,2.76e-05
8.05e-07,2.03e-05
8.1e-07,1.49e-05
8.15e-07,1.1e-05
8.2e-07,8.18e-06
8.25e-07,6.09e-06
8.3e-07,4.55e-06
