wavelength,FL11
3.8e-07,0.91
3.85e-07,0.63
3.9e-07,0.46
3.95e-07,0.37
4e-07,1.29
4.05e-07,12.68
4.1e-07,1.59
4.15e-07,1.79
4.2e-07,2.46
4.25e-07,3.33
4.3e-07,4.49
4.35e-07,33.94
4.4e-07,12.13
4.45e-07,6.95
4.5e-07,7.19
4.55e-07,7.12
4.6e-07,6.72
4.65e-07,6.13
4.7e-07,5.46
4.75e-07,4.79
4.8e-07,5.66
4.85e-07,14.29
4.9e-07,14.96
4.95e-07,8.97
5e-07,4.72
5.05e-07,2.33
5.1e-07,1.47
5.15e-07,1.1
5.2e-07,0.89
5.25e-07,0.83
5.3e-07,1.18
5.35e-07,4.9
5.4e-07,39.59
5.45e-07,72.84
5.5e-07,32.61
5.55e-07,7.52
5.6e-07,2.83
5.65e-07,1.96
5.7e-07,1.67
5.75e-07,4.43
5.8e-07,11.28
5.85e-07,14.76
5.9e-07,12.73
5.95e-07,9.74
6e-07,7.33
6.05e-07,9.72
6.1e-07,55.27
6.15e-07,42.58
6.2e-07,13.18
6.25e-07,13.16
6.3e-07,12.26
6.35e-07,5.11
6.4e-07,2.07
6.45e-07,2.34
6.5e-07,3.58
6.55e-07,3.01
6.6e-07,2.48
6.65e-07,2.14
6.7e-07,1.54
6.75e-07,1.33
6.8e-07,1.46
6.85e-07,1.94
6.9e-07,2.0
6.95e-07,1.2
7e-07,1.35
7.05e-07,4.1
7.1e-07,5.58
7.15e-07,2.51
7.2e-07,0.57
7.25e-07,0.27
7.3e-07,0.23
7.35e-07,0.21
7.4e-07,0.24
7.45e-07,0.24
7.5e-07,0.2
7.55e-07,0.24
7.6e-07,0.32
7.65e-07,0.26
7.7e-07,0.16
7.75e-07,0.12
7.8e-07,0.09
