wavelength,FL3.8
3.8e-07,4.18
3.85e-07,2.93
3.9e-07,2.29
3.95e-07,1.98
4e-07,2.44
4.05e-07,70.7
4.1e-07,10.19
4.15e-07,9.79
4.2e-07,13.21
4.25e-07,17.79
4.3e-07,22.98
4.35e-07,191.43
4.4e-07,31.76
4.45e-07,33.35
4.5e-07,33.87
4.55e-07,32.89
4.6e-07,30.6
4.65e-07,28.28
4.7e-07,24.81
4.75e-07,21.6
4.8e-07,23.4
4.85e-07,68.99
4.9e-07,70.85
4.95e-07,42.29
5e-07,22.67
5.05e-07,11.08
5.1e-07,7.66
5.15e-07,6.07
5.2e-07,5.07
5.25e-07,4.88
5.3e-07,6.26
5.35e-07,20.29
5.4e-07,204.67
5.45e-07,390.25
5.5e-07,135.69
5.55e-07,34.57
5.6e-07,15.71
5.65e-07,12.6
5.7e-07,11.05
5.75e-07,25.05
5.8e-07,54.98
5.85e-07,82.84
5.9e-07,58.22
5.95e-07,53.06
6e-07,41.44
6.05e-07,25.26
6.1e-07,329.89
6.15e-07,161.29
6.2e-07,54.19
6.25e-07,66.3
6.3e-07,71.43
6.35e-07,15.74
6.4e-07,10.22
6.45e-07,10.68
6.5e-07,20.32
6.55e-07,14.13
6.6e-07,11.72
6.65e-07,11.75
6.7e-07,7.87
6.75e-07,6.38
6.8e-07,7.23
6.85e-07,8.94
6.9e-07,9.79
6.95e-07,7.26
7e-07,2.59
7.05e-07,17.03
7.1e-07,33.69
7.15e-07,12.02
7.2e-07,1.68
7.25e-07,1.5
7.3e-07,1.31
7.35e-07,1.01
7.4e-07,1.16
7.45e-07,1.59
7.5e-07,0.79
7.55e-07,0.67
7.6e-07,4.82
7.65e-07,0.61
7.7e-07,1.25
7.75e-07,0.79
7.8e-07,0.58
