wavelength,ID50
3e-07,0.0
3.05e-07,-1.69406589451e-21
3.1e-07,0.0
3.15e-07,0.0
3.2e-07,0.01
3.25e-07,0.13
3.3e-07,0.64
3.35e-07,1.77
3.4e-07,3.94
3.45e-07,7.16
3.5e-07,11.34
3.55e-07,15.68
3.6e-07,19.48
3.65e-07,22.5
3.7e-07,24.84
3.75e-07,23.81
3.8e-07,22.55
3.85e-07,25.56
3.9e-07,28.77
3.95e-07,38.67
4e-07,48.53
4.05e-07,52.21
4.1e-07,55.72
4.15e-07,57.33
4.2e-07,58.95
4.25e-07,57.84
4.3e-07,56.75
4.35e-07,65.08
4.4e-07,73.45
4.45e-07,79.73
4.5e-07,86.12
4.55e-07,88.09
4.6e-07,90.05
4.65e-07,90.64
4.7e-07,91.18
4.75e-07,93.17
4.8e-07,95.14
4.85e-07,93.69
4.9e-07,92.23
4.95e-07,94.19
5e-07,96.13
5.05e-07,96.65
5.1e-07,97.16
5.15e-07,97.44
5.2e-07,97.71
5.25e-07,100.18
5.3e-07,102.63
5.35e-07,101.9
5.4e-07,101.16
5.45e-07,101.87
5.5e-07,102.56
5.55e-07,101.29
5.6e-07,100.0
5.65e-07,98.73
5.7e-07,97.41
5.75e-07,97.75
5.8e-07,98.07
5.85e-07,95.12
5.9e-07,92.18
5.95e-07,93.98
6e-07,95.8
6.05e-07,96.35
6.1e-07,96.85
6.15e-07,96.37
6.2e-07,95.88
6.25e-07,93.97
6.3e-07,92.09
6.35e-07,93.28
6.4e-07,94.45
6.45e-07,92.64
6.5e-07,90.82
6.55e-07,91.74
6.6e-07,92.65
6.65e-07,94.65
6.7e-07,96.58
6.75e-07,94.35
6.8e-07,92.14
6.85e-07,86.42
6.9e-07,80.74
6.95e-07,82.37
7e-07,83.94
7.05e-07,84.18
7.1e-07,84.42
7.15e-07,76.8
7.2e-07,69.24
7.25e-07,73.31
7.3e-07,77.32
7.35e-07,79.68
7.4e-07,81.97
7.45e-07,75.3
7.5e-07,68.69
7.55e-07,59.42
7.6e-07,50.23
7.65e-07,60.97
7.7e-07,71.62
7.75e-07,69.34
7.8e-07,67.06
