wavelength,3-LED-4 (455547623)
3.8e-07,1.48554815599882e-07
3.85e-07,9.1e-07
3.9e-07,4.91945989968639e-06
3.95e-07,2.34694309188581e-05
4e-07,9.881e-05
4.05e-07,0.0003671237
4.1e-07,0.0012037523
4.15e-07,0.0034831741
4.2e-07,0.008894682
4.25e-07,0.0200492403
4.3e-07,0.0400167822
4.35e-07,0.0725244502
4.4e-07,0.1312010645
4.45e-07,0.2570833796
4.5e-07,0.456931888
4.55e-07,0.5705517003
4.6e-07,0.4569964913
4.65e-07,0.2572699646
4.7e-07,0.1316591009
4.75e-07,0.0735745258
4.8e-07,0.0422903013
4.85e-07,0.0247046376
4.9e-07,0.0179119685
4.95e-07,0.0200054668
5e-07,0.0298438422
5.05e-07,0.0473568983
5.1e-07,0.0732535988
5.15e-07,0.1091225432
5.2e-07,0.159905858
5.25e-07,0.2399867425
5.3e-07,0.3756330202
5.35e-07,0.5836005961
5.4e-07,0.8234603813
5.45e-07,0.9838705345
5.5e-07,0.9641705295
5.55e-07,0.7776477851
5.6e-07,0.5370033829
5.65e-07,0.3428897428
5.7e-07,0.2209973019
5.75e-07,0.1499165163
5.8e-07,0.1067853989
5.85e-07,0.0832231171
5.9e-07,0.0816202917
5.95e-07,0.1091680792
6e-07,0.1739360904
6.05e-07,0.2917296769
6.1e-07,0.5348840896
6.15e-07,1.0377379062
6.2e-07,1.6366466718
6.25e-07,1.7116056209
6.3e-07,1.1648450523
6.35e-07,0.6083919924
6.4e-07,0.3191958702
6.45e-07,0.1792122278
6.5e-07,0.0957487311
6.55e-07,0.0457378312
6.6e-07,0.0193047537
6.65e-07,0.007191114
6.7e-07,0.0023639744
6.75e-07,0.0006858086
6.8e-07,0.0001755806
6.85e-07,3.96701061693615e-05
6.9e-07,7.9097659889265e-06
6.95e-07,1.39180147224715e-06
7e-07,2.16124701308646e-07
7.05e-07,2.96172770638478e-08
7.1e-07,3.58178693090179e-09
7.15e-07,3.82268783348228e-10
7.2e-07,3.60042318489114e-11
7.25e-07,2.99265299907172e-12
7.3e-07,2.19524391716436e-13
7.35e-07,1.42116902184803e-14
7.4e-07,8.12039530369973e-16
7.45e-07,4.09600540729487e-17
7.5e-07,1.8248444830666e-18
7.55e-07,7.1918957051195e-20
7.6e-07,2.51922315521053e-21
7.65e-07,7.96184389637815e-23
7.7e-07,2.37929410472859e-24
7.75e-07,7.60786774257376e-26
7.8e-07,3.1397886480576e-27
