wavelength,FL3.10
3.8e-07,0.25
3.85e-07,0.0
3.9e-07,0.0
3.95e-07,0.0
4e-07,0.69
4.05e-07,21.24
4.1e-07,2.18
4.15e-07,1.86
4.2e-07,3.1
4.25e-07,5.0
4.3e-07,7.03
4.35e-07,45.08
4.4e-07,16.78
4.45e-07,12.28
4.5e-07,13.31
4.55e-07,13.66
4.6e-07,13.69
4.65e-07,13.13
4.7e-07,12.28
4.75e-07,11.42
4.8e-07,11.66
4.85e-07,22.04
4.9e-07,26.17
4.95e-07,18.57
5e-07,11.36
5.05e-07,6.83
5.1e-07,5.58
5.15e-07,4.88
5.2e-07,4.31
5.25e-07,3.76
5.3e-07,3.61
5.35e-07,5.62
5.4e-07,38.59
5.45e-07,100.0
5.5e-07,36.54
5.55e-07,10.57
5.6e-07,2.98
5.65e-07,2.05
5.7e-07,1.84
5.75e-07,6.09
5.8e-07,17.27
5.85e-07,21.77
5.9e-07,18.72
5.95e-07,10.15
6e-07,7.26
6.05e-07,5.17
6.1e-07,56.66
6.15e-07,49.39
6.2e-07,18.57
6.25e-07,14.21
6.3e-07,14.01
6.35e-07,5.99
6.4e-07,2.68
6.45e-07,3.14
6.5e-07,6.25
6.55e-07,5.78
6.6e-07,6.75
6.65e-07,5.16
6.7e-07,3.03
6.75e-07,1.57
6.8e-07,1.72
6.85e-07,1.54
6.9e-07,1.71
6.95e-07,1.1
7e-07,0.28
7.05e-07,3.65
7.1e-07,7.54
7.15e-07,2.34
7.2e-07,0.05
7.25e-07,0.04
7.3e-07,0.04
7.35e-07,0.03
7.4e-07,0.03
7.45e-07,0.02
7.5e-07,0.02
7.55e-07,0.01
7.6e-07,0.01
7.65e-07,0.0
7.7e-07,0.0
7.75e-07,0.0
7.8e-07,0.0
